param_SVM__n_iter,train acc,test acc,,,,,
1,0.874933911,0.868162072,,,,,
4,0.913037262,0.898166816,,,,,
7,0.917153475,0.906117129,,,,,
10,0.920975039,0.901843287,,Test,,Train,
13,0.925901893,0.911217847,,Iteration,Accuracy,Iteration,Accuracy
16,0.92637608,0.920041157,,1,0.868162072,1,0.874933911
19,0.926946194,0.919443786,,4,0.898166816,4,0.913037262
22,0.929317127,0.913790718,,7,0.906117129,7,0.917153475
25,0.931757935,0.922062777,,10,0.901843287,10,0.920975039
28,0.928762765,0.919948916,,13,0.911217847,13,0.925901893
31,0.933157876,0.923533145,,16,0.920041157,16,0.92637608
34,0.930399799,0.917099322,,19,0.919443786,19,0.926946194
37,0.930812996,0.917099322,,22,0.913790718,22,0.929317127
40,0.932171132,0.920546288,,25,0.922062777,25,0.931757935
43,0.93209439,0.921051418,,28,0.919948916,28,0.928762765
46,0.931879915,0.921648789,,31,0.923533145,31,0.933157876
49,0.933846537,0.924130517,,34,0.917099322,34,0.930399799
52,0.930262067,0.919856675,,37,0.917099322,37,0.930812996
55,0.929929046,0.91856969,,40,0.920546288,40,0.932171132
58,0.934362528,0.924360022,,43,0.921051418,43,0.93209439
61,0.933218866,0.922292282,,46,0.921648789,46,0.931879915
64,0.934676364,0.925049635,,49,0.924130517,49,0.933846537
67,0.933337413,0.921051418,,52,0.919856675,52,0.930262067
70,0.934932642,0.923533145,,55,0.91856969,55,0.929929046
73,0.931229625,0.923165279,,58,0.924360022,58,0.934362528
,,,,61,0.922292282,61,0.933218866
,,,,64,0.925049635,64,0.934676364
,,,,67,0.921051418,67,0.933337413
,,,,70,0.923533145,70,0.934932642
,,,,73,0.923165279,73,0.931229625
