param_SVM__n_iter,train acc,test acc
1,0.885148106545753,0.8793254532995993
4,0.8244469809788194,0.8090684078290815
7,0.9065761673207934,0.9039560492655845
10,0.8239693612497521,0.8047956637852275
13,0.8920498630958078,0.887869843277813
16,0.9129673857418493,0.905241935483871
19,0.7727707477808353,0.7784476245695411
22,0.838653996919807,0.8239576744676365
25,0.9247582315185398,0.9133778287300582
28,0.7165590457137616,0.6993376203528006
31,0.8839167968256159,0.8684761314920233
34,0.8370553340127044,0.8242794205495818
37,0.700471036049081,0.6796704793028323
40,0.9176797657663988,0.9054714403682621
43,0.9286634039079592,0.9138829590976175
46,0.9244163244566745,0.9055636815658165
49,0.883128774760998,0.8721064814814816
52,0.7621574921268476,0.7372476544381193
55,0.8898461478807618,0.8797811687398974
58,0.745182099337633,0.7220838604258908
61,0.9316010176834411,0.913515092416895
64,0.8802897142319368,0.8507932742989669
67,0.9270942261934331,0.9123192511771734
70,0.918310870059564,0.9060226913345985
73,0.9265871212717891,0.9035903788038513
