mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.00903821,0.001820041,0.122478199,0.008675209,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.889189842,0.883393903,0.902988088,0.926610135,0.900060809,0.900445179,0.014891905,13,1,1,1,1,1,1,0
0.007967091,0.001429654,0.105439758,0.009217021,manhattan,1,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'distance'}",0.889189842,0.883393903,0.902988088,0.926610135,0.900060809,0.900445179,0.014891905,13,1,1,1,1,1,1,0
0.010969019,0.004160909,0.164487362,0.014079038,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.899923475,0.885958005,0.907106804,0.923864325,0.908766596,0.905121095,0.012351534,5,0.944380763,0.948194128,0.939572334,0.937774194,0.941129311,0.942210146,0.003696581
0.009625006,0.001867588,0.145170879,0.012274874,manhattan,4,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'distance'}",0.893026159,0.893054714,0.907934585,0.938057743,0.911011452,0.908611345,0.016483834,2,1,1,1,1,1,1,0
0.008104181,0.001692829,0.151263475,0.004198616,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.877076746,0.871310317,0.888935998,0.919473047,0.906151819,0.892580556,0.017964111,31,0.914789377,0.921498155,0.915290817,0.906275818,0.915142159,0.914599265,0.004851465
0.007611179,0.001252074,0.136757851,0.003562073,manhattan,7,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'distance'}",0.89351451,0.8883404,0.896810014,0.930597618,0.912080673,0.904262877,0.015357857,7,1,1,1,1,1,1,0
0.009833908,0.001898591,0.184217548,0.022362063,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.88888777,0.887058348,0.901524329,0.913658389,0.918009527,0.901818629,0.012548604,11,0.920427561,0.925635645,0.915807727,0.912580353,0.915212147,0.917932687,0.004607043
0.009501982,0.002768427,0.169250965,0.033111309,manhattan,10,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'distance'}",0.900009062,0.893559459,0.904593176,0.927347062,0.915339009,0.908164793,0.011933485,3,1,1,1,1,1,1,0
0.008194447,0.001706838,0.159829283,0.004006423,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.873039048,0.85418938,0.88413083,0.899697153,0.897446032,0.881692909,0.016788815,54,0.898634268,0.900415295,0.898148844,0.890808279,0.891965578,0.895994453,0.003854403
0.010117197,0.002483413,0.169118977,0.019459366,manhattan,13,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'distance'}",0.896661095,0.888249546,0.89859681,0.9233192,0.906045404,0.902571497,0.011818799,10,1,1,1,1,1,1,0
0.009795094,0.00233072,0.184841299,0.009295291,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.880324023,0.864627498,0.895850999,0.895760145,0.889647309,0.8852391,0.011762147,45,0.903091449,0.902706046,0.899798979,0.893074731,0.891278304,0.897989902,0.004914163
0.008714247,0.002277225,0.16565938,0.020340967,manhattan,16,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'distance'}",0.890755583,0.881657581,0.908944074,0.915445185,0.902787068,0.899914162,0.012233604,16,1,1,1,1,1,1,0
0.007991028,0.001300536,0.154948807,0.004581722,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.859848561,0.849475066,0.872824551,0.881980618,0.871754333,0.867172928,0.011305832,67,0.88376121,0.881943493,0.876401069,0.875908458,0.873046313,0.878212109,0.003999697
0.008622169,0.001177732,0.149923134,0.004080461,manhattan,19,distance,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'distance'}",0.882881568,0.880971129,0.903038562,0.914758732,0.898728084,0.896070694,0.01270484,21,1,1,1,1,1,1,0
